,dates,Date,HourlyPrecip,AltimeterFlag,RelativeHumidityFlag,WetBulbCelsius,SeaLevelPressureFlag,Altimeter,ValueForWindCharacterFlag,HourlyPrecipFlag,SkyConditionFlag,DewPointFarenheitFlag,DewPointFarenheit,DewPointCelsiusFlag,RecordType,dates.1,DryBulbCelsiusFlag,WetBulbFarenheitFlag,SkyCondition,WindDirectionFlag,PressureChangeFlag,RelativeHumidity,SeaLevelPressure,RecordTypeFlag,DewPointCelsius,Time,PressureTendencyFlag,StationPressure,WeatherType,WBAN,WindDirection,WeatherTypeFlag,sethour,VisibilityFlag,WindSpeed,DryBulbFarenheit,ValueForWindCharacter,DryBulbFarenheitFlag,Visibility,DryBulbCelsius,PressureTendency,StationType,StationPressureFlag,WindSpeedFlag,WetBulbFarenheit,PressureChange,WetBulbCelsiusFlag
21,2015-08-21 02:00:00,20150821, , , ,12.3, ,30.05, , , , ,52, ,AA,2015-08-21 02:00:00, , ,FEW070, , ,83,30.04, ,11.1,2, ,29.33, ,94846,160, ,2, ,3,57, , ,10.0,13.9, ,11, , ,54, , 
22,2015-08-22 02:00:00,20150822, , , ,15.0, ,30.09, , , , ,57, ,AA,2015-08-22 02:00:00, , ,CLR, , ,84,30.08, ,13.9,2, ,29.37, ,94846,190, ,2, ,6,62, , ,10.0,16.7, ,11, , ,59, , 
23,2015-08-23 02:00:00,20150823, , , ,17.5, ,29.89, , , , ,60, ,AA,2015-08-23 02:00:00, , ,FEW035 FEW120 BKN250, , ,73,29.88, ,15.6,2, ,29.17, ,94846,180, ,2, ,10,69, , ,10.0,20.6, ,11, , ,64, , 
24,2015-08-24 02:00:00,20150824, , , ,11.8, ,29.94, , , , ,50, ,AA,2015-08-24 02:00:00, , ,CLR, , ,78,29.93, ,10.0,2, ,29.22, ,94846,260, ,2, ,11,57, , ,10.0,13.9, ,11, , ,53, , 
25,2015-08-25 02:00:00,20150825, , , ,11.7, ,29.96, , , , ,46, ,AA,2015-08-25 02:00:00, , ,OVC040, , ,58,29.96, ,7.8,2, ,29.24, ,94846,300, ,2, ,7,61, , ,10.0,16.1, ,11, , ,53, , 
26,2015-08-26 02:00:00,20150826, , , ,12.1, ,30.09, , , , ,52, ,SP,2015-08-26 02:00:00, , ,BKN030, , ,87,M, ,11.1,2, ,29.37, ,94846,310, ,2, ,3,56, , ,10.0,13.3, ,11, , ,54, , 
27,2015-08-26 02:00:00,20150826, , , ,12.3, ,30.09, , , , ,52, ,AA,2015-08-26 02:00:00, , ,BKN030, , ,83,30.08, ,11.1,2, ,29.37, ,94846,310, ,2, ,6,57, , ,10.0,13.9, ,11, , ,54, , 
28,2015-08-27 02:00:00,20150827, , , ,11.8, ,30.17, , , , ,52, ,AA,2015-08-27 02:00:00, , ,CLR, , ,90,30.16, ,11.1,2, ,29.44, ,94846,0, ,2, ,0,55, , ,9.0,12.8, ,11, , ,53, , 
29,2015-08-28 02:00:00,20150828, , , ,13.7, ,30.12, , , , ,55, ,AA,2015-08-28 02:00:00, , ,SCT250, , ,87,30.11, ,12.8,2, ,29.39, ,94846,160, ,2, ,3,59, , ,9.0,15.0, ,11, , ,57, , 
30,2015-08-29 02:00:00,20150829,0.01, , ,16.9, ,30.03, , , , ,61, ,AA,2015-08-29 02:00:00, , ,BKN100 OVC110, , ,87,30.02, ,16.1,2, ,29.31,-RA,94846,170, ,2, ,8,65, , ,10.0,18.3, ,11, , ,63, , 
31,2015-08-30 02:00:00,20150830, , , ,17.6, ,30.02, , , , ,63, ,AA,2015-08-30 02:00:00, , ,OVC008, , ,93,30.01, ,17.2,2, ,29.3,BR,94846,360, ,2, ,5,65, , ,6.0,18.3, ,11, , ,64, , 
32,2015-08-31 02:00:00,20150831, , , ,16.8, ,30.03, , , , ,62, ,SP,2015-08-31 02:00:00, , ,FEW010, , ,97,M, ,16.7,2, ,29.31,BR,94846,0, ,2, ,0,63, , ,1.5,17.2, ,11, , ,62, , 
33,2015-08-31 02:00:00,20150831, , , ,16.6, ,30.03, , , , ,62, ,AA,2015-08-31 02:00:00, , ,FEW010, , ,100,30.02, ,16.7,2, ,29.31,BR,94846,0, ,2, ,0,62, , ,1.5,16.7, ,11, , ,62, , 
0,2015-08-01 03:00:00,20150801, , , ,14.5, ,29.98, , , , ,53, ,AA,2015-08-01 03:00:00, , ,CLR, , ,65,29.97, ,11.7,3, ,29.26, ,94846,280, ,3, ,7,65, , ,10.0,18.3, ,11, , ,58, , 
1,2015-08-02 03:00:00,20150802, , , ,20.4, ,29.86, , , , ,67, ,AA,2015-08-02 03:00:00, , ,SCT130, , ,84,29.84, ,19.4,3, ,29.14, ,94846,250, ,3, ,10,72, , ,10.0,22.2, ,11, , ,69, , 
2,2015-08-03 03:00:00,20150803, , , ,18.7, ,29.77, , , , ,65, ,AA,2015-08-03 03:00:00, , ,SCT060, , ,93,29.75, ,18.3,3, ,29.05, ,94846,260, ,3, ,7,67, , ,10.0,19.4, ,11, , ,66, , 
3,2015-08-04 03:00:00,20150804, , , ,14.6, ,29.92, , , , ,55, ,AA,2015-08-04 03:00:00, , ,CLR, , ,75,29.91, ,12.8,3, ,29.2, ,94846,270, ,3, ,3,63, , ,10.0,17.2, ,11, , ,58, , 
4,2015-08-05 03:00:00,20150805, , , ,15.3, ,30.04, , , , ,58, ,AA,2015-08-05 03:00:00, , ,SCT250, , ,87,30.03, ,14.4,3, ,29.32, ,94846,290, ,3, ,3,62, , ,10.0,16.7, ,11, , ,60, , 
5,2015-08-06 03:00:00,20150806, , , ,17.5, ,29.98, , , , ,62, ,AA,2015-08-06 03:00:00, , ,OVC300, , ,87,29.96, ,16.7,3, ,29.26, ,94846,20, ,3, ,6,66, , ,10.0,18.9, ,11, , ,64, , 
6,2015-08-07 03:00:00,20150807, , , ,16.7, ,29.92, , , , ,61, ,AA,2015-08-07 03:00:00, , ,FEW040 SCT150, , ,90,29.91, ,16.1,3, ,29.2, ,94846,190, ,3, ,6,64, , ,10.0,17.8, ,11, , ,62, , 
7,2015-08-08 03:00:00,20150808, , , ,18.3, ,29.88, , , , ,62, ,AA,2015-08-08 03:00:00, , ,FEW030, , ,76,29.86, ,16.7,3, ,29.16, ,94846,220, ,3, ,6,70, , ,10.0,21.1, ,11, , ,65, , 
8,2015-08-09 03:00:00,20150809, , , ,19.2, ,29.99, , , , ,66, ,AA,2015-08-09 03:00:00, , ,BKN120, , ,93,29.97, ,18.9,3, ,29.27,BR,94846,260, ,3, ,3,68, , ,5.0,20.0, ,11, , ,67, , 
9,2015-08-10 03:00:00,20150810, , , ,20.7, ,29.85, , , , ,68, ,SP,2015-08-10 03:00:00, , ,OVC014, , ,87,M, ,20.0,3, ,29.13,BR,94846,0, ,3, ,0,72, , ,5.0,22.2, ,11, , ,69, , 
10,2015-08-10 03:00:00,20150810, , , ,20.7, ,29.85, , , , ,68, ,AA,2015-08-10 03:00:00, , ,OVC014, , ,87,29.83, ,20.0,3, ,29.13,BR,94846,0, ,3, ,0,72, , ,5.0,22.2, ,11, , ,69, , 
11,2015-08-11 03:00:00,20150811, , , ,17.5, ,29.97, , , , ,62, ,AA,2015-08-11 03:00:00, , ,FEW080, , ,87,29.96, ,16.7,3, ,29.25, ,94846,340, ,3, ,5,66, , ,10.0,18.9, ,11, , ,64, , 
12,2015-08-12 03:00:00,20150812, , , ,14.7, ,30.15, , , , ,56, ,AA,2015-08-12 03:00:00, , ,FEW020, , ,81,30.14, ,13.3,3, ,29.42, ,94846,0, ,3, ,0,62, , ,10.0,16.7, ,11, , ,59, , 
13,2015-08-13 03:00:00,20150813, , , ,16.8, ,30.1, , , , ,60, ,AA,2015-08-13 03:00:00, , ,SCT250, , ,81,30.08, ,15.6,3, ,29.38, ,94846,0, ,3, ,0,66, , ,10.0,18.9, ,11, , ,62, , 
14,2015-08-14 03:00:00,20150814, , , ,19.9, ,30.07, , , , ,65, ,AA,2015-08-14 03:00:00, , ,FEW055 OVC220, , ,76,30.06, ,18.3,3, ,29.35, ,94846,260, ,3, ,9,73, , ,10.0,22.8, ,11, , ,68, , 
15,2015-08-15 03:00:00,20150815, , , ,18.6, ,30.11, , , , ,64, ,AA,2015-08-15 03:00:00, , ,SCT047 BKN060, , ,87,30.09, ,17.8,3, ,29.39, ,94846,260, ,3, ,7,68, , ,10.0,20.0, ,11, , ,66, , 
16,2015-08-16 03:00:00,20150816, , , ,20.9, ,30.07, , , , ,69, ,AA,2015-08-16 03:00:00, , ,CLR, , ,93,30.05, ,20.6,3, ,29.35, ,94846,0, ,3, ,0,71, , ,8.0,21.7, ,11, , ,70, , 
17,2015-08-17 03:00:00,20150817, , , ,20.0, ,30.04, , , , ,67, ,AA,2015-08-17 03:00:00, , ,CLR, , ,90,30.02, ,19.4,3, ,29.32, ,94846,180, ,3, ,3,70, , ,10.0,21.1, ,11, , ,68, , 
18,2015-08-18 03:00:00,20150818,0.04, , ,19.8, ,29.9, , , , ,67, ,AA,2015-08-18 03:00:00, , ,BKN110 OVC130, , ,93,29.88, ,19.4,3, ,29.18,-RA,94846,200, ,3, ,5,69, , ,8.0,20.6, ,11, , ,68, , 
19,2015-08-19 03:00:00,20150819, , , ,19.8, ,29.63, , , , ,67, ,AA,2015-08-19 03:00:00, , ,FEW110 OVC240, , ,93,29.62, ,19.4,3, ,28.92, ,94846,170, ,3, ,11,69, , ,10.0,20.6, ,11, , ,68, , 
20,2015-08-20 03:00:00,20150820, , , ,14.2, ,29.73, , , , ,55, ,AA,2015-08-20 03:00:00, , ,BKN021, , ,81,29.72, ,12.8,3, ,29.01, ,94846,240, ,3, ,11,61, , ,10.0,16.1, ,11, , ,58, , 
21,2015-08-21 03:00:00,20150821, , , ,12.1, ,30.06, , , , ,52, ,AA,2015-08-21 03:00:00, , ,FEW080, , ,87,30.05, ,11.1,3, ,29.34, ,94846,0, ,3, ,0,56, , ,10.0,13.3, ,11, , ,54, , 
22,2015-08-22 03:00:00,20150822, , , ,14.5, ,30.1, , , , ,56, ,AA,2015-08-22 03:00:00, , ,CLR, , ,84,30.09, ,13.3,3, ,29.38, ,94846,180, ,3, ,5,61, , ,10.0,16.1, ,11, , ,58, , 
23,2015-08-23 03:00:00,20150823, , , ,17.5, ,29.91, , , , ,60, ,AA,2015-08-23 03:00:00, , ,BKN060 OVC070, , ,73,29.90, ,15.6,3, ,29.19, ,94846,200, ,3, ,11,69, , ,10.0,20.6, ,11, , ,64, , 
24,2015-08-24 03:00:00,20150824, , , ,11.2, ,29.94, , , , ,49, ,AA,2015-08-24 03:00:00, , ,CLR, , ,78,29.93, ,9.4,3, ,29.22, ,94846,260, ,3, ,9,56, , ,10.0,13.3, ,11, , ,52, , 
25,2015-08-25 03:00:00,20150825, , , ,11.7, ,29.97, , , , ,47, ,AA,2015-08-25 03:00:00, , ,SCT041 BKN050, , ,62,29.96, ,8.3,3, ,29.25, ,94846,280, ,3, ,9,60, , ,10.0,15.6, ,11, , ,53, , 
26,2015-08-26 03:00:00,20150826, , , ,12.6, ,30.1, , , , ,52, ,AA,2015-08-26 03:00:00, , ,OVC033, , ,81,30.09, ,11.1,3, ,29.38, ,94846,310, ,3, ,7,58, , ,10.0,14.4, ,11, , ,55, , 
27,2015-08-27 03:00:00,20150827, , , ,10.8, ,30.16, , , , ,51, ,AA,2015-08-27 03:00:00, , ,CLR, , ,96,30.16, ,10.6,3, ,29.44, ,94846,0, ,3, ,0,52, , ,9.0,11.1, ,11, , ,51, , 
28,2015-08-28 03:00:00,20150828, , , ,13.7, ,30.11, , , , ,55, ,AA,2015-08-28 03:00:00, , ,SCT250, , ,87,30.10, ,12.8,3, ,29.39, ,94846,160, ,3, ,3,59, , ,9.0,15.0, ,11, , ,57, , 
29,2015-08-29 03:00:00,20150829,0.10, , ,16.7, ,30.04, , , , ,61, ,AA,2015-08-29 03:00:00, , ,OVC110, , ,90,30.04, ,16.1,3, ,29.32,-RA BR,94846,180, ,3, ,8,64, , ,6.0,17.8, ,11, , ,62, , 
30,2015-08-30 03:00:00,20150830, , , ,17.6, ,30.03, , , , ,63, ,AA,2015-08-30 03:00:00, , ,OVC006, , ,93,30.02, ,17.2,3, ,29.31,BR,94846,350, ,3, ,5,65, , ,5.0,18.3, ,11, , ,64, , 
31,2015-08-31 03:00:00,20150831, , , ,15.5, ,30.04, , , , ,60, ,SP,2015-08-31 03:00:00, , ,FEW010, , ,100,M, ,15.6,3, ,29.32,BR,94846,0, ,3, ,0,60, , ,1.0,15.6, ,11, , ,60, , 
32,2015-08-31 03:00:00,20150831, , , ,15.2, ,30.04, , , , ,59, ,SP,2015-08-31 03:00:00, , ,FEW010, , ,97,M, ,15.0,3, ,29.32,BR,94846,0, ,3, ,0,60, , ,1.0,15.6, ,11, , ,59, , 
33,2015-08-31 03:00:00,20150831, , , ,16.5, ,30.04, , , , ,61, ,SP,2015-08-31 03:00:00, , ,FEW002, , ,93,M, ,16.0,3, ,29.32,FG,94846,0, ,3, ,0,63, , ,0.5,17.0, ,11, , ,62, , 
34,2015-08-31 03:00:00,20150831, , , ,16.3, ,30.04, , , , ,61, ,AA,2015-08-31 03:00:00, , ,FEW002, , ,97,30.03, ,16.1,3, ,29.32,FG,94846,0, ,3, ,0,62, , ,0.5,16.7, ,11, , ,61, , 
35,2015-08-31 03:00:00,20150831, , , ,16.6, ,30.04, , , , ,62, ,SP,2015-08-31 03:00:00, , ,FEW001, , ,100,M, ,16.7,3, ,29.32,FG,94846,0, ,3, ,0,62, , ,0.25,16.7, ,11, , ,62, , 
0,2015-08-01 04:00:00,20150801, , , ,14.3, ,29.98, , , , ,53, ,AA,2015-08-01 04:00:00, , ,CLR, , ,68,29.97, ,11.7,4, ,29.26, ,94846,280, ,4, ,8,64, , ,10.0,17.8, ,11, , ,58, , 
1,2015-08-02 04:00:00,20150802, , , ,20.4, ,29.85, , , , ,67, ,AA,2015-08-02 04:00:00, , ,SCT130, , ,84,29.83, ,19.4,4, ,29.13, ,94846,230, ,4, ,8,72, , ,10.0,22.2, ,11, , ,69, , 
2,2015-08-03 04:00:00,20150803, , , ,18.9, ,29.8, , , , ,65, ,AA,2015-08-03 04:00:00, , ,SCT060 SCT250, , ,90,29.78, ,18.3,4, ,29.08, ,94846,260, ,4, ,6,68, , ,10.0,20.0, ,11, , ,66, , 
3,2015-08-04 04:00:00,20150804, , , ,14.2, ,29.94, , , , ,55, ,AA,2015-08-04 04:00:00, , ,FEW250, , ,81,29.93, ,12.8,4, ,29.22, ,94846,260, ,4, ,3,61, , ,10.0,16.1, ,11, , ,58, , 
4,2015-08-05 04:00:00,20150805, , , ,15.3, ,30.05, , , , ,58, ,AA,2015-08-05 04:00:00, , ,BKN250, , ,87,30.04, ,14.4,4, ,29.33, ,94846,250, ,4, ,3,62, , ,10.0,16.7, ,11, , ,60, , 
5,2015-08-06 04:00:00,20150806, , , ,17.5, ,29.98, , , , ,62, ,AA,2015-08-06 04:00:00, , ,BKN300, , ,87,29.97, ,16.7,4, ,29.26, ,94846,20, ,4, ,5,66, , ,10.0,18.9, ,11, , ,64, , 
6,2015-08-07 04:00:00,20150807, , , ,16.3, ,29.93, , , , ,59, ,AA,2015-08-07 04:00:00, , ,FEW050 SCT080 SCT250, , ,81,29.92, ,15.0,4, ,29.21, ,94846,180, ,4, ,7,65, , ,10.0,18.3, ,11, , ,61, , 
7,2015-08-08 04:00:00,20150808, , , ,18.3, ,29.89, , , , ,62, ,AA,2015-08-08 04:00:00, , ,FEW024 SCT050 SCT180, , ,76,29.88, ,16.7,4, ,29.17, ,94846,220, ,4, ,6,70, , ,10.0,21.1, ,11, , ,65, , 
8,2015-08-09 04:00:00,20150809, , , ,19.2, ,29.95, , , , ,66, ,SP,2015-08-09 04:00:00, , ,OVC160, , ,93,M, ,19.0,4, ,29.23,BR,94846,0, ,4, ,0,68, , ,4.0,20.0, ,11, , ,67, , 
9,2015-08-09 04:00:00,20150809, , , ,19.2, ,29.95, , , , ,66, ,AA,2015-08-09 04:00:00, , ,OVC160, , ,93,29.94, ,18.9,4, ,29.23,BR,94846,0, ,4, ,0,68, , ,4.0,20.0, ,11, , ,67, , 
10,2015-08-10 04:00:00,20150810, , , ,20.3, ,29.84, , , , ,68, ,SP,2015-08-10 04:00:00, , ,OVC014, , ,93,M, ,20.0,4, ,29.12,BR,94846,0, ,4, ,0,70, , ,4.0,21.1, ,11, , ,69, , 
11,2015-08-10 04:00:00,20150810, , , ,20.9, ,29.86, , , , ,69, ,AA,2015-08-10 04:00:00, , ,BKN014 OVC060, , ,93,29.84, ,20.6,4, ,29.14,BR,94846,320, ,4, ,5,71, , ,4.0,21.7, ,11, , ,70, , 
12,2015-08-11 04:00:00,20150811, , , ,17.3, ,29.99, , , , ,62, ,AA,2015-08-11 04:00:00, , ,FEW080 FEW250, , ,90,29.98, ,16.7,4, ,29.27, ,94846,330, ,4, ,6,65, , ,10.0,18.3, ,11, , ,63, , 
13,2015-08-12 04:00:00,20150812, , , ,15.0, ,30.16, , , , ,57, ,AA,2015-08-12 04:00:00, , ,FEW020 FEW060, , ,84,30.14, ,13.9,4, ,29.44, ,94846,10, ,4, ,5,62, , ,10.0,16.7, ,11, , ,59, , 
14,2015-08-13 04:00:00,20150813, , , ,16.8, ,30.12, , , , ,60, ,AA,2015-08-13 04:00:00, , ,FEW250, , ,81,30.10, ,15.6,4, ,29.39, ,94846,220, ,4, ,5,66, , ,10.0,18.9, ,11, , ,62, , 
15,2015-08-14 04:00:00,20150814, , , ,19.9, ,30.08, , , , ,65, ,AA,2015-08-14 04:00:00, , ,FEW055 OVC200, , ,76,30.06, ,18.3,4, ,29.36, ,94846,260, ,4, ,10,73, , ,10.0,22.8, ,11, , ,68, , 
16,2015-08-15 04:00:00,20150815, , , ,18.6, ,30.11, , , , ,64, ,AA,2015-08-15 04:00:00, , ,FEW047 FEW060, , ,87,30.10, ,17.8,4, ,29.39, ,94846,200, ,4, ,5,68, , ,10.0,20.0, ,11, , ,66, , 
17,2015-08-16 04:00:00,20150816, , , ,20.9, ,30.1, , , , ,69, ,AA,2015-08-16 04:00:00, , ,FEW250, , ,93,30.09, ,20.6,4, ,29.38, ,94846,220, ,4, ,3,71, , ,10.0,21.7, ,11, , ,70, , 
18,2015-08-17 04:00:00,20150817, , , ,20.0, ,30.05, , , , ,67, ,AA,2015-08-17 04:00:00, , ,CLR, , ,90,30.03, ,19.4,4, ,29.33, ,94846,0, ,4, ,0,70, , ,9.0,21.1, ,11, , ,68, , 
19,2015-08-18 04:00:00,20150818,  T, , ,19.6, ,29.91, , , , ,67, ,AA,2015-08-18 04:00:00, , ,FEW030 SCT070 OVC110, , ,97,29.90, ,19.4,4, ,29.19,-RA,94846,160, ,4, ,6,68, , ,9.0,20.0, ,11, , ,67, , 
20,2015-08-19 04:00:00,20150819, , , ,20.0, ,29.66, , , , ,67, ,AA,2015-08-19 04:00:00, , ,FEW020 SCT050 BKN075, , ,90,29.65, ,19.4,4, ,28.95, ,94846,190, ,4, ,13,70, , ,10.0,21.1, ,11, , ,68, , 
21,2015-08-20 04:00:00,20150820, , , ,13.9, ,29.75, , , , ,55, ,AA,2015-08-20 04:00:00, , ,BKN018 OVC025, , ,84,29.74, ,12.8,4, ,29.03, ,94846,250, ,4, ,17,60,22, ,10.0,15.6, ,11, , ,57, , 
22,2015-08-21 04:00:00,20150821, , , ,12.1, ,30.07, , , , ,52, ,AA,2015-08-21 04:00:00, , ,FEW080, , ,87,30.06, ,11.1,4, ,29.35, ,94846,220, ,4, ,3,56, , ,10.0,13.3, ,11, , ,54, , 
23,2015-08-22 04:00:00,20150822, , , ,14.2, ,30.1, , , , ,56, ,AA,2015-08-22 04:00:00, , ,FEW080, , ,87,30.09, ,13.3,4, ,29.38, ,94846,170, ,4, ,6,60, , ,10.0,15.6, ,11, , ,58, , 
24,2015-08-23 04:00:00,20150823, , , ,17.9, ,29.88, , , , ,62, ,AA,2015-08-23 04:00:00, , ,SCT031 SCT060 SCT150, , ,81,29.87, ,16.7,4, ,29.16, ,94846,190, ,4, ,8,68, , ,10.0,20.0, ,11, , ,64, , 
25,2015-08-24 04:00:00,20150824, , , ,11.0, ,29.94, , , , ,49, ,AA,2015-08-24 04:00:00, , ,FEW030, , ,80,29.94, ,9.4,4, ,29.22, ,94846,260, ,4, ,9,55, , ,10.0,12.8, ,11, , ,52, , 
26,2015-08-25 04:00:00,20150825, , , ,11.7, ,29.98, , , , ,47, ,AA,2015-08-25 04:00:00, , ,BKN050, , ,62,29.97, ,8.3,4, ,29.26, ,94846,290, ,4, ,10,60, , ,10.0,15.6, ,11, , ,53, , 
27,2015-08-26 04:00:00,20150826, , , ,13.1, ,30.11, , , , ,53, ,AA,2015-08-26 04:00:00, , ,OVC030, , ,81,30.10, ,11.7,4, ,29.39, ,94846,320, ,4, ,6,59, , ,10.0,15.0, ,11, , ,56, , 
28,2015-08-27 04:00:00,20150827, , , ,10.5, ,30.19, , , , ,50, ,AA,2015-08-27 04:00:00, , ,FEW050, , ,93,30.19, ,10.0,4, ,29.47, ,94846,0, ,4, ,0,52, , ,10.0,11.1, ,11, , ,51, , 
29,2015-08-28 04:00:00,20150828, , , ,13.7, ,30.11, , , , ,55, ,AA,2015-08-28 04:00:00, , ,BKN170 BKN250, , ,87,30.11, ,12.8,4, ,29.39, ,94846,160, ,4, ,5,59, , ,10.0,15.0, ,11, , ,57, , 
30,2015-08-29 04:00:00,20150829, , , ,17.2, ,30.03, , , , ,63, ,SP,2015-08-29 04:00:00, , ,FEW060 BKN090 OVC110, , ,100,M, ,17.0,4, ,29.31,RA BR,94846,140, ,4, ,9,63, , ,3.0,17.0, ,11, , ,63, , 
31,2015-08-29 04:00:00,20150829,0.18, , ,16.8, ,30.02, , , , ,62, ,AA,2015-08-29 04:00:00, , ,FEW060 BKN090 OVC110, , ,97,30.01, ,16.7,4, ,29.3,RA BR,94846,140, ,4, ,9,63, , ,3.0,17.2, ,11, , ,62, , 
32,2015-08-30 04:00:00,20150830, , , ,17.4, ,30.04, , , , ,63, ,SP,2015-08-30 04:00:00, , ,OVC005, , ,97,M, ,17.2,4, ,29.32,BR,94846,340, ,4, ,6,64, , ,4.0,17.8, ,11, , ,63, , 
33,2015-08-30 04:00:00,20150830, , , ,17.4, ,30.04, , , , ,63, ,AA,2015-08-30 04:00:00, , ,OVC005, , ,97,30.03, ,17.2,4, ,29.32,BR,94846,340, ,4, ,5,64, , ,4.0,17.8, ,11, , ,63, , 
34,2015-08-31 04:00:00,20150831, , , ,16.6, ,30.04, , , , ,62, ,SP,2015-08-31 04:00:00, , ,FEW001, , ,100,M, ,16.7,4, ,29.32,FG,94846,0,s,4,s,0,62, , ,0.12,16.7, ,11, , ,62, , 
35,2015-08-31 04:00:00,20150831, , , ,16.6, ,30.05, , , , ,62, ,AA,2015-08-31 04:00:00, , ,FEW001, , ,100,30.04, ,16.7,4, ,29.33,FG,94846,0,s,4,s,0,62, , ,0.12,16.7, ,11, , ,62, , 
0,2015-08-01 05:00:00,20150801, , , ,15.3, ,29.99, , , , ,55, ,AA,2015-08-01 05:00:00, , ,CLR, , ,68,29.97, ,12.8,5, ,29.27, ,94846,270, ,5, ,7,66, , ,10.0,18.9, ,11, , ,60, , 
1,2015-08-02 05:00:00,20150802, , , ,20.4, ,29.85, , , , ,67, ,AA,2015-08-02 05:00:00, , ,FEW130 FEW350, , ,84,29.83, ,19.4,5, ,29.13, ,94846,210, ,5, ,10,72, , ,10.0,22.2, ,11, , ,69, , 
2,2015-08-03 05:00:00,20150803, , , ,18.8, ,29.81, , , , ,64, ,AA,2015-08-03 05:00:00, , ,SCT060 SCT070 SCT250, , ,84,29.80, ,17.8,5, ,29.09, ,94846,320, ,5, ,9,69, , ,10.0,20.6, ,11, , ,66, , 
3,2015-08-04 05:00:00,20150804, , , ,15.2, ,29.95, , , , ,57, ,AA,2015-08-04 05:00:00, , ,FEW080 FEW250, , ,81,29.94, ,13.9,5, ,29.23, ,94846,260, ,5, ,5,63, , ,10.0,17.2, ,11, , ,60, , 
4,2015-08-05 05:00:00,20150805, , , ,16.7, ,30.05, , , , ,59, ,AA,2015-08-05 05:00:00, , ,SCT250, , ,76,30.04, ,15.0,5, ,29.33, ,94846,360, ,5, ,3,67, , ,10.0,19.4, ,11, , ,62, , 
5,2015-08-06 05:00:00,20150806, , , ,17.8, ,29.97, , , , ,63, ,AA,2015-08-06 05:00:00, , ,FEW040 FEW170 BKN300, , ,90,29.96, ,17.2,5, ,29.25, ,94846,20, ,5, ,6,66, , ,10.0,18.9, ,11, , ,64, , 
6,2015-08-07 05:00:00,20150807, , , ,16.2, ,29.94, , , , ,58, ,AA,2015-08-07 05:00:00, , ,FEW070 BKN250, , ,76,29.93, ,14.4,5, ,29.22, ,94846,170, ,5, ,8,66, , ,10.0,18.9, ,11, , ,61, , 
7,2015-08-08 05:00:00,20150808, , , ,18.6, ,29.9, , , , ,63, ,AA,2015-08-08 05:00:00, , ,FEW040 FEW150 BKN250, , ,79,29.89, ,17.2,5, ,29.18, ,94846,230, ,5, ,5,70, , ,10.0,21.1, ,11, , ,66, , 
8,2015-08-09 05:00:00,20150809, , , ,19.4, ,29.96, , , , ,66, ,AA,2015-08-09 05:00:00, , ,BKN160 OVC250, , ,90,29.95, ,18.9,5, ,29.24,BR,94846,0, ,5, ,0,69, , ,3.0,20.6, ,11, , ,67, , 
9,2015-08-10 05:00:00,20150810, , , ,20.7, ,29.86, , , , ,68, ,SP,2015-08-10 05:00:00, , ,SCT014 BKN025 OVC250, , ,87,M, ,20.0,5, ,29.14,BR,94846,360, ,5, ,6,72, , ,4.0,22.2, ,11, , ,69, , 
10,2015-08-10 05:00:00,20150810, , , ,20.7, ,29.86, , , , ,68, ,AA,2015-08-10 05:00:00, , ,SCT014 BKN025 OVC250, , ,87,29.84, ,20.0,5, ,29.14,BR,94846,20, ,5, ,5,72, , ,4.0,22.2, ,11, , ,69, , 
11,2015-08-11 05:00:00,20150811, , , ,17.7, ,30.02, , , , ,62, ,AA,2015-08-11 05:00:00, , ,SCT024 SCT090 BKN250, , ,84,30.01, ,16.7,5, ,29.3, ,94846,340, ,5, ,6,67, , ,10.0,19.4, ,11, , ,64, , 
12,2015-08-12 05:00:00,20150812, , , ,16.5, ,30.16, , , , ,59, ,AA,2015-08-12 05:00:00, , ,FEW020, , ,78,30.15, ,15.0,5, ,29.44, ,94846,20, ,5, ,3,66, , ,10.0,18.9, ,11, , ,62, , 
13,2015-08-13 05:00:00,20150813, , , ,17.0, ,30.12, , , , ,60, ,AA,2015-08-13 05:00:00, , ,FEW200 FEW300, , ,78,30.11, ,15.6,5, ,29.39, ,94846,250, ,5, ,6,67, , ,10.0,19.4, ,11, , ,63, , 
14,2015-08-14 05:00:00,20150814, , , ,19.7, ,30.09, , , , ,65, ,AA,2015-08-14 05:00:00, , ,FEW055 OVC190, , ,79,30.07, ,18.3,5, ,29.37, ,94846,250, ,5, ,8,72, , ,10.0,22.2, ,11, , ,68, , 
15,2015-08-15 05:00:00,20150815, , , ,19.0, ,30.12, , , , ,64, ,AA,2015-08-15 05:00:00, , ,FEW047 SCT060, , ,81,30.11, ,17.8,5, ,29.39, ,94846,250, ,5, ,3,70, , ,10.0,21.1, ,11, , ,66, , 
16,2015-08-16 05:00:00,20150816, , , ,21.4, ,30.12, , , , ,70, ,AA,2015-08-16 05:00:00, , ,FEW040 SCT250, , ,93,30.11, ,21.1,5, ,29.39, ,94846,0, ,5, ,0,72, , ,8.0,22.2, ,11, , ,71, , 
17,2015-08-17 05:00:00,20150817, , , ,20.5, ,30.06, , , , ,68, ,AA,2015-08-17 05:00:00, , ,FEW150, , ,90,30.04, ,20.0,5, ,29.34, ,94846,190, ,5, ,5,71, , ,7.0,21.7, ,11, , ,69, , 
